M/Z	CO	CO2	H2
1.0	0.0	0.0	424.7389898
2.0	0.0	0.0	19866.01128
12.0	781.7557194	1448.743046	0.0
13.0	0.0	0.0	0.0
14.0	0.0	0.0	0.0
15.0	0.0	0.0	0.0
16.0	263.7233818	1490.812764	0.0
17.0	0.0	0.0	0.0
18.0	0.0	0.0	0.0
19.0	0.0	0.0	0.0
20.0	0.0	0.0	0.0
22.0	0.0	266.3729108	0.0
24.0	0.0	0.0	0.0
25.0	0.0	0.0	0.0
26.0	0.0	0.0	0.0
27.0	0.0	0.0	0.0
28.0	12748.55137	1250.757966	0.0
29.0	150.7193134	12.55994278	0.0
30.0	0.0	0.0	0.0
31.0	0.0	0.0	0.0
32.0	0.0	0.0	0.0
33.0	0.0	0.0	0.0
34.0	0.0	0.0	0.0
36.0	0.0	0.0	0.0
37.0	0.0	0.0	0.0
38.0	0.0	0.0	0.0
39.0	0.0	0.0	0.0
40.0	0.0	0.0	0.0
41.0	0.0	0.0	0.0
42.0	0.0	0.0	0.0
43.0	0.0	0.0	0.0
44.0	0.0	10456.35237	0.0
45.0	0.0	124.4033088	0.0
46.0	0.0	41.1308037	0.0
47.0	0.0	0.0	0.0
48.0	0.0	0.0	0.0
49.0	0.0	0.0	0.0
50.0	0.0	0.0	0.0
51.0	0.0	0.0	0.0
52.0	0.0	0.0	0.0
53.0	0.0	0.0	0.0
54.0	0.0	0.0	0.0
55.0	0.0	0.0	0.0
56.0	0.0	0.0	0.0
57.0	0.0	0.0	0.0
58.0	0.0	0.0	0.0
59.0	0.0	0.0	0.0
66.0	0.0	0.0	0.0
67.0	0.0	0.0	0.0
68.0	0.0	0.0	0.0
69.0	0.0	0.0	0.0
70.0	0.0	0.0	0.0
71.0	0.0	0.0	0.0
72.0	0.0	0.0	0.0
73.0	0.0	0.0	0.0
