Temp,CO Concentration Relative to CO,CO2 Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO
176.8481,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8945,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8788,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7941,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7974,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8505,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9009,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9665,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9055,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8099,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8533,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9335,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.881,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8105,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8207,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7429,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7739,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8874,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8942,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8326,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8189,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8509,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8443,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9281,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9268,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8664,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.914,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.883,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9234,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8343,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8869,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8666,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8004,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.889,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0114,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8458,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9231,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9848,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0193,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.032,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9611,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8494,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9185,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8734,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9646,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9394,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8496,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9133,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7969,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.792,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7845,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8007,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9141,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8142,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7997,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.7839,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8388,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9101,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0272,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0201,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.969,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0026,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9059,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8848,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8855,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9602,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.023,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9497,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8147,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8542,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9009,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9337,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8691,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9353,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9734,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9555,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8202,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.9251,-533.369468602055,-2418.6450629121678,-448.3076855654652
176.8746,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0054,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0023,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.0163,-533.369468602055,-2418.6450629121678,-448.3076855654652
177.1247,-533.3694686020538,-2418.645062912164,-448.30768556546434
177.248,-533.3694686020538,-2418.645062912164,-448.30768556546434
177.2921,-533.3694686020538,-2418.645062912164,-448.30768556546434
177.5623,-533.3694686020538,-2418.645062912164,-448.30768556546434
177.7207,-533.3694686020532,-2418.6450629121637,-448.3076855654641
177.9972,-533.3694686020532,-2418.6450629121637,-448.3076855654641
178.29,-533.3694686020531,-2418.6450629121623,-448.3076855654639
178.6543,-533.3694686020532,-2418.6450629121637,-448.307685565464
179.0592,-533.3694686020532,-2418.6450629121623,-448.3076855654636
179.3064,-533.3694686020532,-2418.6450629121623,-448.3076855654636
179.7101,-533.3694686020531,-2418.6450629121623,-448.3076855654639
180.1774,-533.3694686020528,-2418.6450629121623,-448.3076855654638
180.5681,-533.3694686020528,-2418.6450629121623,-448.3076855654638
180.8962,-533.3694686020541,-2418.645062912164,-448.30768556546434
181.384,-533.3694686020532,-2418.6450629121637,-448.307685565464
181.8506,-533.3694686020531,-2418.645062912163,-448.3076855654639
182.297,-533.3694686020531,-2418.645062912163,-448.3076855654639
182.8438,-533.3694686020526,-2418.6450629121614,-448.3076855654636
183.2631,-533.369468602053,-2418.6450629121628,-448.3076855654639
183.6243,-533.3694686020528,-2418.6450629121614,-448.3076855654637
184.0933,-533.3694686020526,-2418.6450629121614,-448.3076855654636
184.5898,-533.3694686020532,-2418.6450629121623,-448.3076855654636
185.0357,-533.3694686020532,-2418.645062912163,-448.3076855654639
185.4777,-533.3694686020531,-2418.645062912163,-448.3076855654639
185.9069,-533.3694686020539,-2418.645062912164,-448.30768556546434
186.4914,-533.3694686020528,-2418.6450629121614,-448.3076855654637
187.0203,-533.3694686020532,-2418.645062912163,-448.3076855654639
187.6229,-533.3694686020528,-2418.6450629121614,-448.3076855654637
188.1595,-533.3694686020531,-2418.645062912163,-448.3076855654639
188.6697,-533.3694686020532,-2418.645062912163,-448.3076855654639
189.3571,-533.3694686020528,-2418.6450629121614,-448.3076855654636
189.9038,-533.3694686020532,-2418.6450629121637,-448.307685565464
190.5653,-533.3694686020528,-2418.6450629121614,-448.3076855654637
191.2235,-533.3694686020533,-2418.645062912163,-448.3076855654639
191.9041,-533.3694686020528,-2418.6450629121623,-448.3076855654638
192.46,-533.3694686020532,-2418.6450629121637,-448.307685565464
193.0445,-533.3694686020528,-2418.6450629121614,-448.3076855654637
193.7611,-533.3694686020541,-2418.645062912164,-448.30768556546434
194.4817,-533.3694686020528,-2418.6450629121623,-448.3076855654638
195.1538,-533.3694686020539,-2418.645062912164,-448.30768556546434
195.7753,-533.3694686020532,-2418.645062912163,-448.3076855654639
196.417,-533.3694686020539,-2418.645062912164,-448.30768556546434
197.0638,-533.3694686020531,-2418.645062912163,-448.3076855654639
197.6513,-533.3694686020532,-2418.645062912163,-448.3076855654639
198.3369,-533.3694686020528,-2418.6450629121614,-448.3076855654637
199.1706,-533.3694686020532,-2418.6450629121637,-448.307685565464
199.7659,-533.3694686020524,-2418.645062912161,-448.3076855654637
