Mass,CO,CO2,Ethylene (Ethene)
2.0,0.0,0.0,0.15584514274110817
12.0,6.132114125842048,13.85514751928736,0.6523525665489003
13.0,0.0,0.0,1.1538103156264727
14.0,0.0,0.0,2.645590997057731
15.0,0.0,0.0,0.3714259376279236
16.0,2.0686537171634742,14.257483979568681,0.0
22.0,0.0,2.547474505203577,0.0
24.0,0.0,0.0,2.448470901835492
25.0,0.0,0.0,8.182601487215093
26.0,0.0,0.0,54.61005634242505
27.0,0.0,0.0,63.32545620828447
28.0,100.0,11.961704442827608,100.0
29.0,1.182246586499812,0.12011782250218869,2.2659726232095028
30.0,0.0,0.0,0.09707984139377554
44.0,0.0,100.0,0.0
45.0,0.0,1.1897390638529142,0.0
46.0,0.0,0.3933570928425015,0.0
