Mass,Crotyl Alcohol
1.0,0.0
2.0,2.0480874436472094
12.0,0.0
13.0,0.0
14.0,3.7169882310015967
15.0,9.762639437154588
16.0,0.0
17.0,0.0
18.0,1.013157518845425
19.0,1.056495010956169
20.0,0.0
22.0,0.0
24.0,0.0
25.0,2.762937581135125
26.0,14.63576885506878
27.0,54.22191680627966
28.0,18.46172080544184
29.0,93.41620158582646
30.0,4.714670385454954
31.0,36.21466558053941
32.0,1.5519124186803528
33.0,0.0
34.0,0.0
36.0,1.2613286846412541
37.0,7.855627458810517
38.0,13.769089942218246
39.0,58.9737847893681
40.0,8.078669091713344
41.0,34.386683769881714
42.0,8.872419450859558
43.0,44.44178520315631
44.0,11.544121843243628
45.0,3.2697903007730433
46.0,0.0
47.0,0.0
48.0,0.0
49.0,2.3505241407117694
50.0,6.866497730433302
51.0,6.096045128871149
52.0,2.161091690346079
53.0,13.640736168999192
54.0,9.192897758407556
55.0,8.734710604047105
56.0,2.0480874436472094
57.0,100.00000000000001
58.0,3.237115431150649
59.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,1.8646917259014502
70.0,1.430870250048233
71.0,7.267248799776571
72.0,26.92231136768364
73.0,1.166680815912906
