time-s,m41.0,m42.0,m43.0,m44.0,m45.0,m46.0,m47.0,m48.0,m49.0,m50.0,m51.0,m52.0,m53.0,m54.0,m55.0,m56.0,m57.0,m58.0,m59.0,m60.0,m61.0,m66.0,m67.0,m68.0,m69.0,m70.0,m71.0,m72.0,m73.0,m74.0,m75.0
5618.562,4.3812458204535666e-07,5.131853910281619e-07,2.0627093903193455e-06,3.05e-06,1.0634837141798282e-07,0.0,0.0,0.0,3.35257388063493e-08,1.2369330728004672e-07,1.1698614414761834e-07,5.111078905296316e-08,3.063913137543871e-07,3.9399999999999995e-07,6.835557617998351e-08,1.08e-07,1.1e-08,7.72e-08,5.12e-09,1.671307199284543e-10,0.0,0.0,0.0,6.951219512195119e-10,9.036585365853657e-09,1.14e-08,1.5478788241006986e-09,1.6018887841961455e-09,3.5791921299746616e-10,3.3571143240423316e-09,1.5949918020569388e-10
5638.531,4.6023688703607654e-07,5.609545204819866e-07,2.250010730711317e-06,3.35e-06,1.1641881876627552e-07,0.0,0.0,0.0,3.210811451713568e-08,1.1932461306527441e-07,1.1287629865042268e-07,4.923442944736897e-08,2.946125879346693e-07,3.7799999999999997e-07,6.842095969930414e-08,1.1e-07,9.94e-09,8.1e-08,5.09e-09,1.661514383663735e-10,0.0,0.0,0.0,6.646341463414633e-10,8.640243902439025e-09,1.09e-08,1.4192039789671113e-09,1.3081392721211922e-09,3.5582203010880906e-10,3.3374437322998953e-09,1.585646146966761e-10
5658.5,4.294782546065421e-07,5.224305798282238e-07,2.091168449589605e-06,3.12e-06,1.089656304548e-07,0.0,0.0,0.0,3.1089166317882334e-08,1.1487366260541948e-07,1.0864179434966701e-07,4.7436857960930696e-08,2.8413954914185516e-07,3.65e-07,6.432217778785744e-08,1.02e-07,1.11e-08,7.42e-08,5.47e-09,1.785556714860635e-10,0.0,0.0,0.0,6.829268292682925e-10,8.878048780487803e-09,1.12e-08,1.5536602620209814e-09,1.6948864953384975e-09,3.8238634669846485e-10,3.586604561037413e-09,1.704024444775675e-10
