ethyne,ethene,ethane,1butanal
0.016447517541563376,0.0,0.0,0.0
0.05052264356937629,0.011300979074992766,0.0,0.0
0.0,0.023828709167994618,0.021569738253615627,0.03060845549274268
0.0,0.0,0.031778316663723785,0.10833246174401853
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.047941194627875314,0.014721012216109,0.0,0.0
0.16853173803799243,0.04535261339306308,0.021020889951996906,0.0
0.7633713298438606,0.27583310768567876,0.12788165427716136,0.1107331018634232
0.01585747206922029,0.28103750594389904,0.18276648443903318,0.9526722941717584
0.0,0.45352613393063085,0.5653137506672796,0.21737667686577147
0.0,0.009219219771704628,0.12019777805449929,0.6895244200058934
0.0,0.0,0.11855123314964314,0.0
